name,ingredients,diet,flavor,course,state,region,style,category,source
Chicken Tikka masala,"naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,spicy,main course,punjab,north,,,indian_food
Chicken Tikka,"chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,spicy,starter,punjab,north,,,indian_food
Chole bhature,"chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,spicy,main course,punjab,north,,,indian_food
Daal baati churma,"moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,spicy,main course,rajasthan,west,,,indian_food
Daal puri,"moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,spicy,main course,west bengal,east,,,indian_food
Dal makhani,"red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,sweet,main course,punjab,north,,,indian_food
Dal tadka,"pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,spicy,main course,punjab,north,,,indian_food
Dum aloo,"baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,spicy,main course,jammu & kashmir,north,,,indian_food
Poha,"beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,spicy,snack,maharashtra,west,,,indian_food
Fara,"chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,spicy,snack,chhattisgarh,central,,,indian_food
Kachori,"moong dal, rava, garam masala, dough, fennel seeds",vegetarian,spicy,snack,uttar pradesh,north,chaat,,indian_food
Kadai paneer,"cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,spicy,main course,punjab,north,,,indian_food
Kadhi pakoda,"besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,spicy,main course,haryana,north,,,indian_food
Karela bharta,"bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,bitter,main course,punjab,north,,,indian_food
Khichdi,"moong dal, green peas, ginger, tomato, green chili",vegetarian,spicy,main course,,,,,indian_food
Kofta,"paneer, potato, cream, corn flour, garam masala",vegetarian,spicy,main course,uttar pradesh,north,,,indian_food
Kulfi falooda,"rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,sweet,dessert,,,,,indian_food
Lauki ke kofte,"bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,spicy,main course,uttar pradesh,north,,,indian_food
Lauki ki subji,"bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,spicy,main course,,,,,indian_food
Litti chokha,"wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,spicy,main course,bihar,north,,,indian_food
Makki di roti sarson da saag,"palak, makki atta, mustard green, garam masala, ginger",vegetarian,spicy,main course,punjab,north,,,indian_food
Misi roti,"whole wheat flour, chickpea flour, green chilies",vegetarian,spicy,main course,punjab,north,,,indian_food
Mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum",vegetarian,spicy,main course,punjab,north,,,indian_food
Mushroom matar,"canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,spicy,main course,punjab,north,,,indian_food
Naan,"whole wheat flour, honey, butter, garlic",vegetarian,,main course,punjab,north,,,indian_food
Navrattan korma,"green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,spicy,main course,uttar pradesh,north,,,indian_food
Palak paneer,"cottage cheese, palak, cream, garam masala, butter",vegetarian,spicy,main course,punjab,north,,,indian_food
Paneer butter masala,"paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,spicy,main course,punjab,north,,,indian_food
Paneer tikka masala,"paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,spicy,main course,punjab,north,,,indian_food
Pani puri,"kala chana, mashed potato, boondi, sev, lemon",vegetarian,spicy,snack,,,chaat,,indian_food
